"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"Mexico",7.08,6.83,7,14,1400,2012,0
"Mexico",7.92,7.83,7.75,4,1500,2012,1
"Philippines",8.08,7.5,7.42,0,1600,2014,1
"Colombia",7.83,8,7.75,8,2136,2012,1
"Guatemala",7.67,7.67,7.58,2,1901,2017,0
"Mexico",7.58,7.33,7.25,2,1200,2012,0
"United States",7.42,7.17,7.42,0,1706.88,2014,0
"Guatemala",7.5,7.75,7.83,1,1500,2015,1
"Honduras",7.58,7.5,7.58,2,1350,2015,0
"Mexico",7.17,7.17,7.25,7,1100,2012,0
"Mexico",7.08,6.83,7.42,20,900,2012,0
"Mexico",7.58,7.75,7.67,10,1089,2012,1
"Guatemala",7.75,7.5,7.58,1,1500,2014,1
"Mexico",7.5,7.58,7.58,0,950,2012,1
"Guatemala",8,7.5,8,0,1356.6648,2014,1
"Brazil",7.5,7.83,7.58,5,1227,2016,1
"Guatemala",7.67,7.67,7.67,3,1310.64,2013,1
"Mexico",7.17,7.17,7.17,29,1280,2012,0
"Mexico",7.67,7.42,7.42,0,1130,2016,0
"Guatemala",7.08,7.33,7.58,2,1219.2,2013,0
"Guatemala",7.5,7.5,7.5,12,1402.08,2012,1
"Haiti",7.42,7,7.25,0,1000,2012,0
"China",8,8,7.83,0,1700,2015,1
"Brazil",7.58,7.5,7.67,0,1,2016,1
"Honduras",7.58,7.5,7.33,2,1450,2016,0
"Brazil",7.42,7.42,7.33,3,1260,2014,0
"Mexico",7.58,7.58,7.75,0,1200,2012,1
"Guatemala",7.75,7.75,7.83,0,1128.3696,2016,1
"Honduras",7.25,7.33,7.5,1,1450,2015,0
"Indonesia",7.67,7.58,7.58,0,1350,2010,1
"Costa Rica",7.75,7.83,8,2,1575,2012,1
"Guatemala",7.42,7.42,7.5,0,190164,2017,0
"Brazil",7.33,7.5,7.33,2,1100,2016,0
"Thailand",7.5,7.58,7.5,0,1200,2015,1
"Guatemala",7.5,7.17,7.5,3,1219.2,2014,0
"Guatemala",7.42,7.33,7.58,1,1310.64,2013,0
"Guatemala",7.75,7.92,8.08,1,1099.4136,2015,1
"Brazil",7.42,7.33,7.42,1,1000,2012,0
"Brazil",7.58,7.5,7.75,4,975,2011,1
"Guatemala",7.67,7.5,7.67,3,1752.6,2012,0
"Mexico",7.33,7,7.08,8,1300,2013,0
"Haiti",7.58,7.5,7.5,4,1280.16,2012,1
"Mexico",7.67,7.58,7.75,7,1250,2012,1
"Mexico",7.5,7.67,7.83,2,1500,2012,1
"Colombia",7.83,7.5,7.42,3,1775,2013,1
"Mexico",7.25,7.33,7.25,0,1250,2012,0
"Mexico",7.42,7.58,7.33,7,1300,2012,0
"Guatemala",7.42,7.33,7.42,4,1310.64,2013,0
"Philippines",7.58,7.58,7.58,1,1200,2015,1
"Guatemala",7.92,7.58,7.58,15,1310.64,2012,0
"Colombia",8.08,7.67,7.33,3,1800,2010,1
"Guatemala",7.67,7.5,7.42,0,1310.64,2013,1
"Ethiopia",7.83,8.08,8.08,4,1900,2014,1
"Colombia",7.58,7.75,7.67,1,1750,2013,1
"Colombia",7.33,7.33,7.5,1,1900,2013,0
"Guatemala",7.5,7.42,7.58,1,190164,2016,0
"Colombia",7.5,7.75,7.75,0,1450,2011,1
"Brazil",7.58,7.67,7.58,5,890,2018,1
"Nicaragua",7.25,7.25,7.25,5,110000,2015,0
"India",7.67,7.75,7.83,0,750,2014,1
"Mexico",7.17,6.83,7.25,38,12,2012,0
"Costa Rica",7.42,7.25,7.25,0,1500,2014,0
"Brazil",7.08,7.5,7.83,16,11000,2015,1
"Mexico",7.67,7.58,7.58,9,1170,2012,0
"Nicaragua",7.08,7.5,7.17,4,1100,2015,0
"Colombia",7.83,7.75,7.58,0,1800,2016,1
"Kenya",8.08,8.08,8,2,1754,2014,1
"Mexico",7.33,7.25,7.42,2,1300,2012,0
"Colombia",8.08,7.67,7.83,0,1800,2016,1
"Mexico",7.42,7.42,7.25,1,1100,2012,0
"Haiti",7.42,7.33,7.42,0,825,2013,0
"Costa Rica",7.92,7.42,7.67,0,1850,2015,1
"Guatemala",7,6.83,7.17,2,1310.64,2013,0
"Mexico",8,7.92,7.17,4,1400,2012,1
"Uganda",8,7.5,7.58,0,1650,2013,1
"Costa Rica",7.33,7.33,7.25,0,1300,2014,0
"Thailand",7.83,7.75,7.42,0,1200,2015,1
"Mexico",7.5,7.67,7.5,8,1200,2012,1
"Guatemala",7.67,7.17,7.5,5,1550,2013,0
"Colombia",7.92,7.83,7.83,1,1775,2015,1
"Uganda",7.67,7.67,7.58,8,1645,2015,1
"Tanzania, United Republic Of",7.83,7.75,7.75,2,1600,2014,1
"Honduras",7.42,7.67,7.58,6,1500,2017,0
"Brazil",7.17,7.42,7.25,0,1100,2015,0
"Brazil",7.58,7.75,7.5,2,900,2011,1
"Guatemala",7.67,7.75,7.58,3,1700,2017,1
"Honduras",7.58,7.5,7.33,1,1400,2017,0
"Honduras",8.17,8.08,8,3,1400,2016,1
"Mexico",7.08,7,7.33,11,1250,2012,0
"Colombia",7.83,7.58,7.25,0,442,2012,0
"Costa Rica",7.25,7.33,7.33,4,1900,2016,0
"Colombia",7.67,7.58,7.42,1,175,2012,1
"Guatemala",7.67,7.5,8,0,1524,2012,1
"Mexico",7.08,7,7.25,11,1200,2012,0
"Malawi",7.67,7.42,7.5,0,1599,2014,0
"Uganda",8.08,8,7.67,5,1950,2013,1
"Colombia",7.67,7.5,7.67,1,1550,2014,0
"Tanzania, United Republic Of",7.42,7.42,7.5,1,1600,2016,0
"Guatemala",7.67,7.67,7.83,0,1500,2014,1
"Brazil",7.42,7.5,7.33,0,1260,2014,1
"Mexico",7.08,6.83,7.17,12,1250,2012,0
"Costa Rica",8.17,8,7.17,0,1750,2014,1
"Mexico",7.75,7.92,7.67,4,900,2012,1
"Kenya",7.83,8.08,8.08,2,1600,2012,1
"Malawi",7.42,7.42,7.58,0,1100,2014,0
"Mexico",7.75,7.58,7.25,10,1200,2015,0
"United States",7.33,7.33,7.42,6,795,2014,0
"Guatemala",7.67,7.83,7.92,7,1706.88,2015,1
"Colombia",7.75,7.58,7.5,0,1000,2016,1
"Colombia",7.83,7.67,7.58,2,1775,2015,1
"Guatemala",7.33,7.33,7.17,2,1310.64,2013,0
"Guatemala",7.75,7.83,7.83,1,1700,2017,1
"Colombia",7.67,7.42,7.42,3,1550,2014,1
"Mexico",7.33,7.25,7.08,22,1050,2012,0
"Brazil",7.33,7.5,7.33,11,982,2016,0
"Mexico",7.5,7.5,7.42,1,1400,2013,0
"Costa Rica",8,7.58,7.75,4,1200,2014,1
"Colombia",7.58,7.67,7.75,2,1750,2013,1
"Colombia",7.5,7.42,7.33,1,1750,2012,0
"Costa Rica",7.5,7.25,7,4,1200,2014,0
"Brazil",7.58,7.58,7.5,2,905,2015,1
"India",7.5,7.5,7.83,0,750,2013,0
"Nicaragua",7.08,6.92,7.25,2,900,2015,0
"Brazil",7.5,7.33,7.5,3,944,2016,0
"Brazil",7.17,7.58,7.5,1,1,2016,0
"Colombia",7.33,7.33,6.83,1,1800,2010,0
"Mexico",7.25,7.33,7.25,5,1100,2012,0
"Kenya",8,7.92,8.08,6,1200,2012,1
"Ecuador",7.5,7.67,7.75,0,800,2013,1
"Guatemala",7.67,7.75,7.83,5,1219.2,2016,1
"Costa Rica",8,7.58,7.67,2,1300,2014,1
"Colombia",7.75,7.42,7.5,1,1775,2013,1
"Mexico",7.67,7.83,7.58,7,1200,2012,1
"Mexico",7.75,8,7.83,0,1200,2012,1
"Mexico",7.67,7,7.58,19,1250,2012,0
"Mexico",7.58,7.67,7.33,8,441,2012,0
"Vietnam",7.25,7.58,7.42,0,1040,2014,1
"Colombia",7.67,7.67,7.5,3,1775,2014,1
"Honduras",7.25,7.42,7.42,0,1450,2016,0
"Mexico",7.83,7.75,7.58,2,1261,2015,1
"Mexico",7.58,7.33,7.58,0,1150,2012,0
"Mexico",7.25,7.08,7.33,45,1100,2012,0
"Colombia",7.58,7.75,7.67,2,1000,2013,1
"Burundi",7.08,7.25,7.33,0,1700,2016,0
"Guatemala",7.83,7.67,7.67,2,1500,2015,1
"Mexico",7.83,7.92,7.83,1,1450,2012,1
"Colombia",7.67,7.75,7.67,0,1480,2014,1
"Honduras",7.67,7.5,7.42,2,1350,2015,0
"Mexico",7.25,7.25,7.17,9,1250,2012,0
"Brazil",8,8,7.67,1,1250,2011,1
"Guatemala",7.42,7.25,7.33,2,1219.2,2014,0
"India",7.75,7.75,7.67,0,1000,2015,0
"Mexico",7,6.92,6.92,7,850,2012,0
"Tanzania, United Republic Of",7.75,7.42,7.5,1,1317,2014,1
"Tanzania, United Republic Of",7.67,7.25,7.42,7,2285,2016,0
"Costa Rica",7.92,7.75,7.67,2,1700,2016,1
"Mexico",7.25,7.67,7.67,13,1650,2012,0
"Guatemala",8,7.92,7.58,0,1219.2,2014,1
"Colombia",7.5,7.58,7.75,2,1775,2014,1
"Colombia",7.33,7.58,7.58,2,1750,2011,0
"Guatemala",7.17,7.42,7.5,5,1383.792,2014,0
"Honduras",7.42,7.83,7.92,5,1500,2017,1
"United States (Puerto Rico)",7.67,7.5,7.83,0,853.44,2013,1
"Honduras",7.5,7.33,7.25,1,1400,2015,0
"Tanzania, United Republic Of",7.33,7.33,7.42,4,1877,2014,0
"Brazil",7.75,7.5,7.5,3,1000,2011,1
"Indonesia",7.83,7.58,7.58,0,1600,2010,1
"Brazil",7.42,7.58,7.5,3,1100,2012,0
"Mexico",7.58,7.58,7.42,2,1380,2012,1
"Guatemala",7.5,7.5,7.42,1,1700,2017,0
"Colombia",7.42,7.25,7.25,3,1200,2013,0
"Guatemala",7,6.83,7.17,9,1310.64,2013,0
"Nicaragua",7.33,7.08,7.08,5,1250,2017,0
"Mexico",7.5,7.58,7.5,4,1000,2012,0
"China",7.67,7.67,7.67,3,1600,2015,1
"Mexico",7.83,7.58,7.5,5,700,2012,1
"Costa Rica",7.67,7.67,7.67,0,1850,2015,1
"Nicaragua",7.5,7.42,7.33,3,1100,2017,0
"Uganda",7.75,7.42,7.58,1,1200,2013,0
"Colombia",7.83,7.58,7.58,2,2560,2016,1
"Colombia",7.67,7.75,7.67,3,1775,2015,1
"Mexico",7.5,7.58,7.5,6,1250,2012,1
"Costa Rica",7.58,7.5,7.92,4,1850,2016,1
"Mexico",8,7.75,7.83,1,1700,2012,1
"Brazil",7.25,7.25,7.58,1,1,2016,0
"Guatemala",7.33,7.42,7.25,2,1700,2014,0
"Ethiopia",7.42,7.92,8,4,1750,2010,1
"Uganda",7.92,7.75,7.67,26,1700,2012,1
"Mexico",7.17,6.92,6.83,20,1200,2012,0
"Brazil",7.58,7.83,7.67,3,1038.5,2012,1
"Indonesia",7.58,7.42,7.67,1,1350,2015,0
"Indonesia",8.17,7.67,7.58,0,1400,2012,1
"Mexico",7.42,7.25,7.75,7,1800,2012,0
"Colombia",7.58,7.5,7.58,0,1700,2011,0
"Nicaragua",7.83,7.58,7.83,2,925,2010,1
"Mexico",7.5,7.25,7,20,1100,2012,0
"Brazil",7.42,7.5,7.5,1,1050,2012,0
"Costa Rica",7.67,7.58,7.58,3,1200,2013,1
"Colombia",7.83,7.5,7.33,1,1750,2013,1
"Guatemala",7.5,7.67,7.67,1,1500,2014,1
"Colombia",7.58,7.67,7.17,2,442,2016,1
"Mexico",7.33,7.25,7.33,3,1100,2012,0
"Mexico",7.25,6.83,7,0,1320,2012,0
"Kenya",7.17,7.58,7.5,3,1600,2017,0
"Tanzania, United Republic Of",7.58,7.5,7.75,1,1800,2014,1
"Tanzania, United Republic Of",7.33,7.33,7.42,5,1525,2014,0
"Guatemala",7.92,7.67,7.92,1,1219.2,2014,1
"Colombia",7.67,7.67,7.75,3,1775,2015,1
"Colombia",7.92,7.75,7.92,3,1775,2014,1
"Colombia",7.67,7.67,7.5,0,1775,2011,1
"Cote d?Ivoire",7.42,7.25,7,2,200,2016,0
"Brazil",7.58,7.67,7.75,7,934,2016,1
"Kenya",7.33,7.58,7.75,4,1800,2018,1
"Honduras",7.92,8,7.67,3,1500,2016,1
"Mexico",7.75,7.67,7.75,0,1400,2012,1
"Costa Rica",7.67,7.5,7.25,0,1300,2015,0
"Costa Rica",7.83,7.5,7.67,4,185,2015,0
"Malawi",7.58,7.42,7.42,0,1180,2014,0
"Mexico",8,7.75,7.33,0,1300,2012,0
"Colombia",7.67,7.42,7.5,9,1775,2013,0
"Panama",7.25,7.33,7.33,4,1680,2014,0
"Vietnam",7.67,8,7.08,2,1040,2012,0
"Mexico",7.67,7.58,7.42,4,1250,2012,0
"Panama",7.42,7.42,7.58,4,1100,2012,1
"Guatemala",7.67,7.83,8,4,1524,2012,1
"Mexico",7.75,7.75,7.58,13,1200,2014,1
"Kenya",7,7.08,7.17,5,1500,2017,0
"Guatemala",7.75,7.67,7.75,2,1371.6,2015,1
"Mexico",7.67,7.5,7.58,11,1250,2012,0
"Uganda",8,7.67,7.5,2,1488,2014,0
"India",7.67,7.83,7.5,0,1000,2015,0
"Brazil",7.42,7.5,7.5,1,1000,2012,0
"Mexico",7.67,8,7.42,2,1218,2012,1
"Honduras",7.5,7.58,7.5,8,1396,2017,0
"Honduras",7.5,7.5,7.5,1,1600,2017,0
"Mexico",7.58,7.58,7.5,6,1350,2012,0
"Guatemala",7.5,7.83,7.83,3,1310.64,2013,1
"Brazil",7.67,7.75,7.67,16,1150,2015,1
"Tanzania, United Republic Of",7.33,7.17,7.25,0,1700,2014,0
"Ethiopia",7.75,7.92,7.92,2,1750,2010,1
"Colombia",7.92,7.75,7.75,2,1775,2014,1
"Uganda",7.83,7.58,7.5,0,1800,2013,1
"Brazil",7.33,7.67,7.5,2,925,2011,0
"Mexico",7.25,6.83,7.08,7,1100,2012,0
"Guatemala",7.92,7.75,7.67,4,1310.64,2013,1
"Panama",8,7.75,7.83,2,1680,2014,1
"Mexico",7.75,7.58,7.58,2,1500,2013,1
"Mexico",7.25,7.08,7.17,17,1300,2012,0
"Colombia",7.67,7.67,7.5,0,1775,2012,1
"Colombia",8,7.5,7.67,0,1775,2015,1
"Honduras",7.5,7.5,7.42,5,1400,2017,0
"Guatemala",7.75,7.42,7.75,2,1524,2014,1
"Guatemala",7.5,7.5,7.67,0,1400,2013,0
"Mexico",7.33,7,7.25,2,1500,2012,0
"Brazil",7.33,7.67,7.33,3,1,2016,1
"Brazil",8,7.92,7.75,2,1200,2011,1
"Mexico",7.33,7.08,7.42,2,1250,2012,0
"Costa Rica",7.75,7.33,7.5,0,1550,2015,0
"Laos",7.67,7.67,7.42,0,1300,2015,1
"Mexico",7.42,7.5,7.67,23,1250,2012,0
"Thailand",7.25,7.08,7.5,0,800,2013,0
"Mexico",7.58,7.17,7.17,0,1500,2012,0
"Mexico",7.33,7.25,7.42,6,1250,2012,0
"Guatemala",7.5,7,7.5,8,1310.64,2012,0
"Ethiopia",7.42,7.75,8,3,1750,2010,1
"Brazil",7.75,7.75,7.42,0,1250,2012,0
"Colombia",7.83,7.67,7.42,5,1450,2013,1
"Colombia",7.58,7.67,7.67,4,1799,2016,1
"Mexico",7.92,8.17,8.08,0,1400,2011,1
"Colombia",7.75,7.33,7,2,1880,2010,0
"United States",7.92,7.5,7.42,0,3000,2012,0
"Colombia",7.75,7.58,7.67,4,1625,2012,1
"Colombia",7.42,7.67,7.75,6,1800,2012,1
"Guatemala",7.5,7.67,7.67,2,1371.6,2012,1
"Guatemala",7.5,7.67,7.33,4,1752.6,2012,0
"Tanzania, United Republic Of",7.42,7.5,7.33,3,1600,2014,0
"Brazil",8,8,8,2,1000,2011,1
"Philippines",7.08,7.33,7.33,3,1400,2014,0
"Guatemala",7.58,7.67,7.42,1,1700,2017,0
"Mexico",7.83,7.83,7.67,0,1170,2012,1
"Brazil",7.58,7.5,7.5,2,1100,2012,0
"Mexico",7.25,7.08,7.08,8,1550,2012,0
"Brazil",7.5,7.58,7.67,3,934,2016,1
"Costa Rica",8.08,7.75,7.83,2,1150,2015,1
"Honduras",7.58,7.5,7.58,6,1400,2017,1
"Guatemala",7.75,7.83,8,1,1600,2015,1
"Ethiopia",7.75,7.83,8.17,18,1900,2015,1
"Mexico",7.17,7.25,7.17,0,1200,2012,0
"Guatemala",7.83,8.08,8,1,1325.88,2010,1
"Mexico",7.75,7.67,7.42,8,1300,2015,1
"Guatemala",7.75,7.5,7.5,10,1402.08,2012,1
"Guatemala",7.67,7.42,7.17,0,1500,2016,0
"Guatemala",7.42,7.25,7.5,8,3280,2016,0
"Uganda",7.83,7.75,7.83,1,1600,2012,1
"Brazil",7.92,7.58,7.58,4,950,2012,1
"Mexico",7.08,7.33,7.33,12,950,2012,0
"Brazil",7.75,7.58,7.67,4,1250,2014,1
"Mexico",7.58,7.58,7.5,6,1550,2013,1
"Vietnam",7.58,7.42,7.33,0,1550,2017,1
"Mexico",7.58,7.08,7.58,4,1022,2013,0
"Uganda",7.58,7.75,7.75,1,1800,2015,1
"Colombia",7.75,7.67,7.67,0,442,2015,1
"Mexico",7.33,7.25,7.42,4,1000,2012,0
"Guatemala",7.42,7.5,7.5,1,157.8864,2017,0
"Indonesia",7.5,7.5,7.42,3,1300,2017,0
"Brazil",7.83,7.83,7.67,3,1250,2012,1
"Costa Rica",7.83,8,7.92,1,1900,2016,1
"Costa Rica",7.92,8.08,7.92,0,1300,2014,1
"Brazil",7.42,7.33,7.5,4,1020,2017,0
"Tanzania, United Republic Of",7.67,7.5,7.25,5,1400,2012,1
"Guatemala",7.42,7.33,7.58,0,1371.6,2016,0
"Guatemala",7.83,7.67,7.33,0,1310.64,2013,1
"Guatemala",7.58,7.67,7.58,3,1524,2014,0
"Guatemala",7.92,7.67,7.75,3,1650,2015,1
"Brazil",7.5,7.67,7.67,3,872,2016,1
"Colombia",7.5,7.42,7.17,0,1750,2011,0
"Nicaragua",7.42,7,7.17,0,1000,2016,0
"Brazil",7.67,7.83,7.67,2,890,2018,1
"Guatemala",7.67,7.67,7.5,10,1310.64,2012,1
"Mauritius",7.25,7.25,7.17,0,280,2016,0
"Ethiopia",8,8.08,8,3,1775,2014,1
"Colombia",7.58,7.67,7.17,0,1800,2010,0
"Mexico",7.42,7.58,7.58,9,1300,2012,0
"Guatemala",7.67,7.75,7.75,3,1500,2016,1
"Guatemala",7.75,7.75,7.92,4,1500,2016,1
"Uganda",7.75,7.58,7.5,4,1400,2013,1
"Colombia",7.58,7.5,7.67,4,1775,2014,1
"Brazil",7.25,7.75,7.42,0,1,2016,0
"Myanmar",7.42,7,7,1,4287,2014,0
"Brazil",7.58,7.67,7.5,1,1000,2012,0
"Guatemala",7.83,7.83,7.92,1,1219.2,2014,1
"Brazil",7.67,7.67,7.5,0,1000,2014,1
"Colombia",7.67,7.5,7.5,2,1775,2012,1
"El Salvador",7.58,7.5,7.58,0,1330,2016,1
"Mexico",7.67,7.67,7.67,0,1100,2013,1
"Colombia",7.67,7.5,7.42,4,1530,2015,1
"Mexico",7.08,7.08,7.08,1,1200,2014,0
"Guatemala",7.75,7.75,8,6,1116.7872,2016,1
"Guatemala",7.5,7,7.08,6,1310.64,2013,0
"Uganda",7.67,7.83,7.83,6,1100,2014,0
"Mexico",7.5,7.42,7.58,6,1400,2013,0
"Indonesia",7.42,7.42,7.33,6,1300,2014,0
"Brazil",7.58,7.75,7.75,3,934,2016,1
"Brazil",7.67,7.42,7.67,4,1250,2012,1
"Colombia",7.75,7.83,7.83,0,1550,2013,1
"Mexico",7.33,7.58,7.58,4,1650,2012,0
"Guatemala",7.75,7.33,7.42,10,1402.08,2012,0
"Colombia",7.67,7.58,7.58,4,2136,2012,1
"Costa Rica",7.5,7.25,7.33,4,1300,2013,0
"Colombia",7.58,7.67,7.67,0,442,2015,1
"Mexico",7.5,7.5,7.25,7,981,2012,0
"Ethiopia",7.58,7.58,7.5,20,2000,2016,1
"Guatemala",7.58,7.58,7.67,2,1219.2,2015,1
"Mexico",7.75,7.5,7.75,5,700,2012,1
"Honduras",7.83,7.75,7.67,4,1450,2014,1
"Colombia",7.75,7.67,7.75,2,442,2016,1
"Brazil",7.5,7.42,7.42,2,125,2012,0
"Honduras",7.42,7.17,7.42,2,1350,2015,0
"Costa Rica",7.83,7.33,7.08,2,1200,2014,0
"Mexico",7.5,7.67,7.5,9,1144,2012,0
"Guatemala",7.08,7,7.33,19,1325.88,2010,0
"Colombia",7.75,7.5,7.25,3,1750,2012,1
"Guatemala",7.83,7.75,7.92,2,1706.88,2013,1
"Kenya",7.92,7.83,8,0,2000,2012,1
"Malawi",7.58,7.17,7.42,0,1422,2014,0
"Costa Rica",7.83,7.33,7.67,3,1300,2014,1
"Mexico",7.5,7.42,7.67,5,1560,2013,0
"Colombia",7.92,7.75,7.42,1,1800,2010,1
"Colombia",7.67,7.83,7.75,3,1550,2014,1
"Guatemala",7.58,7.42,7.5,5,1524,2014,0
"Mexico",7.5,7.67,7.75,3,1300,2016,1
"Colombia",7.67,7.33,7.58,1,1600,2010,0
"Colombia",7.67,7.33,7.42,2,442,2012,0
"Rwanda",7.83,7.92,7.83,0,1900,2015,1
"Colombia",7.67,7.58,7.67,0,1775,2012,1
"Mexico",7.83,7.92,7.75,4,1400,2012,1
"Nicaragua",7.33,7.08,7,3,1050,2013,0
"Mexico",7.33,7.17,7.08,0,1300,2012,0
"Mexico",7.25,7.17,6.83,3,1200,2012,0
"Mexico",7.42,7.33,7.42,1,1200,2012,0
"Brazil",7.25,7.33,7.5,0,1260,2014,0
"Colombia",7.75,7.5,7.58,0,1650,2016,1
"Honduras",7.42,7.33,7.42,1,1450,2015,0
"Mexico",7.67,7.5,7.67,5,1100,2012,1
"Brazil",7.42,7.42,7.33,10,1250,2013,0
"Guatemala",7.42,7.42,7.58,1,1219.2,2016,0
"Colombia",7.5,7.58,7.5,1,439,2018,1
"Myanmar",7.17,7.33,7.42,4,3845,2015,0
"India",7.58,7.58,7.58,1,750,2014,0
"Guatemala",7.25,7.75,7.75,2,1350,2012,0
"Mexico",7.67,7.58,7.75,4,1300,2012,1
"Colombia",7.67,7.42,7.58,0,165,2014,1
"Mexico",7.42,7.58,7.42,2,1400,2012,0
"El Salvador",7.42,7.08,7.33,6,1450,2017,0
"Mexico",7.25,6.83,7.08,8,1100,2012,0
"Guatemala",7.67,7.58,7.67,0,1700,2016,0
"Ecuador",7.5,7.67,7.75,0,40,2016,0
"India",7.67,7.75,7.83,0,1000,2015,1
"Indonesia",7.83,7.58,7.33,6,1250,2015,1
"El Salvador",8.08,7.83,8.08,0,1400,2010,1
"India",8,7.75,8,2,3170,2017,1
"Uganda",8,7.67,7.42,0,1800,2014,1
"Malawi",7.58,7.25,7.08,12,995,2014,0
"Mexico",7.5,7.75,7.58,5,1380,2012,1
"Mexico",7.83,7.67,7.58,2,1000,2012,1
"Mexico",7.67,7.58,7.5,0,1296,2014,1
"Mexico",7.08,7.33,7.33,12,1100,2012,0
"Brazil",7.42,7.42,7.42,5,934,2016,0
"Mexico",7.67,7.83,7.83,0,1600,2017,1
"Ethiopia",7.83,7.75,7.75,1,1800,2017,1
"Brazil",8,8,7.5,2,1050,2011,1
"Guatemala",7.75,7.83,7.83,0,1219.2,2014,1
"Honduras",7.5,7.33,7.5,5,1400,2014,0
"El Salvador",7.75,7.58,7.75,3,1200,2011,1
"Colombia",7.58,7.42,7.92,0,1450,2014,1
"Mexico",7.33,7.42,7.67,14,1550,2012,0
"Mexico",7.58,7.42,7.58,2,1400,2012,0
"Colombia",7.5,7.5,7.42,0,1775,2013,0
"Nicaragua",7.17,7.08,7.33,2,1187.5,2015,0
"Mexico",7.42,7.25,7.42,10,1100,2012,0
"Mexico",7,7.67,7.5,1,1200,2012,0
"Burundi",7.75,7.67,7.5,5,1880,2012,1
"Colombia",7.83,7.83,7.58,1,442,2017,1
"Mexico",7.42,7.33,7.42,0,1100,2013,0
"Thailand",7.75,7.75,8,2,1499.9208,2011,1
"Honduras",7.5,7.5,7.5,1,1400,2015,0
"Guatemala",7.83,7.67,7.67,3,1310.64,2013,1
"Colombia",7.58,7.5,7.83,2,1700,2013,1
"Mexico",7.67,7.5,7.33,11,1100,2012,1
"El Salvador",7.25,7.08,6.83,12,1250,2016,0
"Honduras",7.67,7.5,7.5,3,1350,2015,1
"India",7.92,7.83,8,0,1000,2015,1
"Brazil",7.58,7,6.92,0,1,2016,0
"Guatemala",7.83,7.42,7.67,4,1310.64,2013,1
"Colombia",7.67,7.67,7.67,3,1775,2012,1
"Costa Rica",8.17,7.83,8.08,0,1300,2016,1
"Colombia",7.58,7.67,7.67,1,1750,2013,1
"Brazil",7.67,7.67,7.75,5,890,2018,1
"China",7,6.92,7.17,5,1850,2013,0
"Colombia",7.75,7.58,7.75,5,1799,2016,1
"Laos",7.42,7.5,7.33,0,1250,2015,0
"China",7.83,7.83,7.75,1,1400,2015,1
"Mexico",7.5,7.17,7.17,0,1100,2012,0
"Peru",7.67,7.17,7.25,4,1400,2012,0
"Uganda",7.67,7.67,7.75,5,1800,2013,1
"Brazil",7.92,7.5,7.67,0,1260,2014,1
"Honduras",7.5,7.42,7.42,3,1200,2018,0
"Costa Rica",7.58,7.83,8,3,1300,2016,1
"Mexico",7.08,6.83,7.25,3,1050,2012,0
"Ethiopia",7.92,7.92,8,15,1800,2012,1
"Uganda",7.58,7.92,7.83,1,1095,2014,0
"Mexico",7.5,7.5,7.5,3,1100,2012,0
"Mexico",7.25,7.33,7,7,850,2012,0
"Colombia",7.75,7.92,8.08,1,1200,2013,1
"Colombia",7.75,7.75,7.83,1,1750,2012,1
